p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
63,31,Fernando Verdasco,$1.389,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Jo-Wilfried Tsonga,FALSE,27,cluster_1,0.53,10
68,36,Jo-Wilfried Tsonga,$3.364,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Fernando Verdasco,FALSE,56,cluster_3,-0.54,21
65,34,Milos Raonic,$3.375,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Fernando Verdasco,FALSE,57,cluster_3,-0.28,18
68,36,Tomas Berdych,$1.995,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,S,Stan Wawrinka,FALSE,50,cluster_3,-0.69,13
56,35,Jo-Wilfried Tsonga,$1.653,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Stan Wawrinka,FALSE,52,cluster_2,2.32,23
60,35,Grigor Dimitrov,$1.503,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Stan Wawrinka,FALSE,53,cluster_2,1.94,23
70,50,Rafael Nadal,$26.377,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Mikhail Youzhny,FALSE,57,cluster_2,-1.55,11
65,40,Nicolas Almagro,$4.779,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Mikhail Youzhny,FALSE,58,cluster_0,-0.13,19
59,34,Mikhail Youzhny,$1.238,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,Nicolas Almagro,FALSE,17,cluster_4,0.64,7
63,29,Marin Cilic,$2.757,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Kevin Anderson,FALSE,23,cluster_1,-0.39,9
63,39,Tomas Berdych,$3.510,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Madrid,R16,Kevin Anderson,FALSE,26,cluster_0,-0.18,9
51,25,Kei Nishikori,$3.003,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Jeremy Chardy,FALSE,24,cluster_4,1.7,12
70,36,Kevin Anderson,$1.528,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Marin Cilic,FALSE,45,cluster_0,-0.38,16
76,41,Richard Gasquet,$2.086,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,Grigor Dimitrov,FALSE,63,cluster_3,-0.1,12
63,35,Tomas Berdych,$1.188,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Rome,Q,Novak Djokovic,FALSE,76,cluster_4,1.24,24
56,45,Rafael Nadal,$6.520,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,David Ferrer,FALSE,72,cluster_4,0.61,9
