player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Rafael Nadal,David Ferrer,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$1.158,$6.520,1.54,0.61,14,9
Rafael Nadal,Ernests Gulbis,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$1.073,$11.748,1.52,-0.45,20,6
Kei Nishikori,Jeremy Chardy,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.462,$3.003,-0.59,1.7,10,12
Fernando Verdasco,David Ferrer,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$5.624,$1.192,0.32,0.43,10,26
Mikhail Youzhny,Tommy Haas,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$3.084,$1.444,1.32,-1.14,20,17
Tomas Berdych,Novak Djokovic,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,$5.701,$1.188,-0.7,1.24,9,24
Tomas Berdych,Kevin Anderson,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,$1.325,$3.814,2.06,-0.97,27,6
Tomas Berdych,Stan Wawrinka,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,$1.939,$1.995,1.07,-0.69,24,13
Nicolas Almagro,Tommy Robredo,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,$1.221,$5.047,0.15,0.88,3,15
Nicolas Almagro,Andreas Seppi,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,$1.219,$5.085,0.19,-0.93,2,10
Jeremy Chardy,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,$4.290,$1.276,-0.08,0.83,3,5
Grigor Dimitrov,Novak Djokovic,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,$9.817,$1.093,-0.73,3.21,7,26
Novak Djokovic,Rafael Nadal,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,$2.582,$1.588,0.74,1.48,17,21
Novak Djokovic,Grigor Dimitrov,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,$1.093,$9.817,3.21,-0.73,26,7
David Ferrer,Jo-Wilfried Tsonga,David Ferrer,May 27 2013,French Open Slam,Semi Final,$1.682,$2.367,2.81,-0.11,26,2
David Ferrer,Kevin Anderson,David Ferrer,May 27 2013,French Open Slam,Round of 16,$1.170,$6.153,3.38,-0.61,21,3
Richard Gasquet,Stan Wawrinka,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,$2.125,$1.830,-0.89,1.81,10,18
Ernests Gulbis,Gael Monfils,Gael Monfils,May 27 2013,French Open Slam,Round of 64,$1.735,$2.269,1.18,-0.28,26,10
Tommy Haas,Mikhail Youzhny,Tommy Haas,May 27 2013,French Open Slam,Round of 16,$1.823,$2.135,1.44,-0.95,13,14
Tommy Haas,John Isner,Tommy Haas,May 27 2013,French Open Slam,Round of 32,$1.373,$3.467,0.75,-0.28,23,9
John Isner,Tommy Haas,Tommy Haas,May 27 2013,French Open Slam,Round of 32,$3.467,$1.373,-0.28,0.75,9,23
Gael Monfils,Tommy Robredo,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,$1.513,$2.809,0.05,0.23,11,22
Gael Monfils,Ernests Gulbis,Gael Monfils,May 27 2013,French Open Slam,Round of 64,$2.269,$1.735,-0.28,1.18,10,26
Gael Monfils,Tomas Berdych,Gael Monfils,May 27 2013,French Open Slam,Round of 128,$4.580,$1.252,1.07,2.1,14,26
Rafael Nadal,Novak Djokovic,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,$1.588,$2.582,1.48,0.74,21,17
Rafael Nadal,Stan Wawrinka,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,$1.065,$12.872,4.07,-0.29,20,6
Rafael Nadal,Kei Nishikori,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,$1.041,$17.789,1.64,-0.42,23,4
Kei Nishikori,Rafael Nadal,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,$17.789,$1.041,-0.42,1.64,4,23
Milos Raonic,Kevin Anderson,Kevin Anderson,May 27 2013,French Open Slam,Round of 32,$1.698,$2.337,-0.53,0.17,9,5
Tommy Robredo,Nicolas Almagro,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,$5.047,$1.221,0.88,0.15,15,3
Tommy Robredo,Gael Monfils,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,$2.809,$1.513,0.23,0.05,22,11
Andreas Seppi,Nicolas Almagro,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,$5.085,$1.219,-0.93,0.19,10,2
Jo-Wilfried Tsonga,David Ferrer,David Ferrer,May 27 2013,French Open Slam,Semi Final,$2.367,$1.682,-0.11,2.81,2,26
